Massachusetts, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199508,68.9,1.4
199608,69.0,1.5
199708,67.6,0.1
199808,70.2,2.7
199908,68.5,1.0
200008,67.0,-0.5
200108,71.7,4.2
200208,71.4,3.9
200308,71.5,4.0
200408,69.0,1.5
200508,72.1,4.6
200608,68.3,0.8
200708,69.4,1.9
200808,67.2,-0.3
200908,71.0,3.5
201008,70.1,2.6
201108,69.8,2.3
201208,71.5,4.0
201308,68.0,0.5
201408,67.2,-0.3
201508,71.1,3.6
201608,72.5,5.0
201708,68.0,0.5
201808,73.5,6.0
201908,69.8,2.3
202008,71.7,4.2
