California, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199504,52.9,-1.1
199604,56.8,2.8
199704,55.6,1.6
199804,51.6,-2.4
199904,51.3,-2.7
200004,57.8,3.8
200104,52.0,-2.0
200204,56.0,2.0
200304,50.0,-4.0
200404,57.3,3.3
200504,53.0,-1.0
200604,53.0,-1.0
200704,56.3,2.3
200804,54.4,0.4
200904,54.3,0.3
201004,50.9,-3.1
201104,53.4,-0.6
201204,55.8,1.8
201304,58.2,4.2
201404,57.7,3.7
201504,56.7,2.7
201604,57.9,3.9
201704,55.6,1.6
201804,57.2,3.2
201904,58.2,4.2
202004,56.6,2.6
