Washington, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199509,60.8,3.9
199609,55.0,-1.9
199709,59.2,2.3
199809,62.2,5.3
199909,57.1,0.2
200009,56.3,-0.6
200109,59.8,2.9
200209,57.5,0.6
200309,60.0,3.1
200409,56.1,-0.8
200509,55.7,-1.2
200609,58.8,1.9
200709,56.7,-0.2
200809,57.8,0.9
200909,59.9,3.0
201009,57.1,0.2
201109,61.0,4.1
201209,59.7,2.8
201309,59.7,2.8
201409,59.8,2.9
201509,56.2,-0.7
201609,56.4,-0.5
201709,59.8,2.9
201809,56.3,-0.6
201909,57.1,0.2
202009,61.4,4.5
