Maryland, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199509,66.9,-0.1
199609,67.2,0.2
199709,66.3,-0.7
199809,71.5,4.5
199909,67.4,0.4
200009,65.7,-1.3
200109,65.6,-1.4
200209,69.4,2.4
200309,67.8,0.8
200409,68.7,1.7
200509,71.1,4.1
200609,65.3,-1.7
200709,69.6,2.6
200809,68.8,1.8
200909,66.4,-0.6
201009,70.2,3.2
201109,69.0,2.0
201209,67.8,0.8
201309,66.0,-1.0
201409,68.0,1.0
201509,70.8,3.8
201609,71.5,4.5
201709,68.3,1.3
201809,72.7,5.7
201909,71.5,4.5
202009,67.3,0.3
