Maryland, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199507,77.6,2.5
199607,73.5,-1.6
199707,75.7,0.6
199807,75.4,0.3
199907,78.9,3.8
200007,72.0,-3.1
200107,72.3,-2.8
200207,77.6,2.5
200307,75.5,0.4
200407,75.5,0.4
200507,77.6,2.5
200607,77.6,2.5
200707,75.4,0.3
200807,76.2,1.1
200907,73.5,-1.6
201007,79.1,4.0
201107,79.6,4.5
201207,79.8,4.7
201307,77.8,2.7
201407,74.7,-0.4
201507,75.9,0.8
201607,78.4,3.3
201707,77.4,2.3
201807,76.2,1.1
201907,78.7,3.6
202007,80.1,5.0
